Region,Urbain Masculin,Urbain Feminin,Urbain Total,Rural Masculin,Rural Feminin,Rural Total,Total Masculin,Total Feminin,Total Total,Quintile Plus Pauvre,Quintile 2eme,Quintile 3eme,Quintile 4eme,Quintile Plus Riche,Quintile Ensemble
Analamanga,"56,9","57,5","57,2","41,1","44,9","43,1","47,7","50,5","49,2","4,7","11,1","22,9","36,9","61,8","49,2"
Vakinakaratra,"43,2",46,"44,6","16,1","16,8","16,4","22,6","24,1","23,3","3,5","7,5","14,4","33,2","62,6","23,3"
Itasy,"50,6","51,3","50,9","17,9","19,9","18,9","21,4","23,5","22,4","3,4","7,4","15,2","35,4","62,8","22,4"
Bongolava,"46,8","43,4","45,1","16,6","16,4","16,5","20,4","19,9","20,1",4,"7,4",14,"32,1","61,4","20,1"
Haute Matsiatra,"49,6","52,9","51,4","13,6","17,5","15,5","22,3",27,"24,7","5,6","10,9","18,6","38,4","65,4","24,7"
Amoron'i Mania,"39,1","41,9","40,5","14,7","16,6","15,7","19,1","21,4","20,3","3,9","9,2","16,5","37,3","60,4","20,3"
Vatovavy Fitovinany,"38,7","35,2","36,8","11,8","9,5","10,7",15,"12,7","13,8","6,8","9,5","16,2","33,4","52,2","13,8"
Ihorombe,"32,2","31,4","32,8","8,3","8,1","8,2","13,1","12,6","12,9","2,9","6,6","16,6","29,6","50,3","12,9"
Atsimo Atsinanana,40,"32,4","36,1","10,7","7,4",9,"14,5","10,5","12,4","5,5","9,5","17,4","36,9",48,"12,4"
Atsinanana,"45,7","44,1","44,8","9,4","9,4","9,4","21,1","21,9","21,5","4,6","6,9","11,8","30,4","54,9","21,5"
Analanjirofo,"50,1","46,9","48,4",20,"18,2",19,"26,6","24,4","25,5","7,4","10,5","16,3","29,4","52,1","25,5"
Alaotra Mangoro,"45,4","45,8","45,6","21,5","23,2","22,3","25,7","27,2","26,5","4,9","9,3","16,3","34,9","58,7","26,5"
Boeny,"48,9","48,7","48,8","11,8","10,1","10,9","26,9","25,9","26,4","4,6","8,4","15,9","35,9","61,3","26,4"
Sofia,"55,9","52,9","54,4",19,"15,1","16,9","25,5","21,1","23,2","9,1","12,8","18,4","35,7","57,4","23,2"
Betsiboka,"30,5","29,1","29,8","10,5","9,6",10,"13,7","12,8","13,2","4,5","7,9","11,7","28,8","48,3","13,2"
Melaky,"24,7","20,5","22,5",3,3,3,"8,5","7,3","7,9","2,1",4,"10,1",26,"43,8","7,9"
Atsimo Andrefana,"34,5","33,2","33,8",9,"8,2","8,6","14,7","13,7","14,1",3,"6,2","12,3","27,1","54,2","14,1"
Androy,"27,9",25,"26,4","6,4","6,7","6,6","10,3","9,9","10,1","3,6","7,4","12,9","35,7","60,2","10,1"
Menabe,"42,4","39,9","41,1","8,2","7,3","7,8","15,8","14,2","14,9",3,"4,7","11,2",32,"58,3","14,9"
Diana,"56,2","56,7","56,5","20,4","20,9","20,6","33,1","34,3","33,8","8,6","12,7","18,4","36,8","60,8","33,8"
Sava,"50,4","48,9","49,6","21,7","18,9","20,3","28,2","25,8","26,9",9,"11,8","11,6","30,5",49,"26,9"
MADAGASCAR,"47,8","47,3","47,5",17,"16,7","16,9","24,5","24,3","24,4","4,7","8,7","15,9","33,3","59,5","24,4"
